Order,Dataset,Variable,Label,DataType,Length,Significant Digits,Format,Mandatory,Codelist,Origin,Pages,Method,Predecessor,Role,Comment,ProgrammingNotes
1,ADSL,STUDYID,Study Identifier,text,,,,Yes,,Predecessor,,,DM.STUDYID,,,
2,ADSL,USUBJID,Unique Subject Identifier,text,,,,Yes,,Predecessor,,,DM.USUBJID,,,
3,ADSL,SUBJID,Subject Identifier for the Study,text,,,,Yes,,Predecessor,,,DM.SUBJID,,,
4,ADSL,SITEID,Study Site Identifier,text,,,,Yes,,Predecessor,,,DM.SITEID,,,
5,ADSL,COUNTRY,Country,text,,,,No,COUNTRY,Predecessor,,,DM.COUNTRY,,,
5,ADSL,REGION1,Geographic Region 1,text,,,,No,REGION1,Derived,,ADSL_REGIONy,,,,
5,ADSL,REGION1N,Geographic Region 1 (N),integer,8,,,No,REGION1N,Assigned,,,,,ASSIGN_CODELIST,
5,ADSL,BRTHDTC,Date/Time of Birth,date,,,ISO 8601,No,,Predecessor,,,DM.BRTHDTC,,,
5,ADSL,BRTHYR,Year of Birth,integer,8,,,No,,Derived,,ADSL_BRTHYR,,,,
5,ADSL,BRTHDT,Date of Birth,integer,8,,date9.,No,,Derived,,ADSL_BRTHDT,,,,Include if DM.AGE is different from analysis age.
5,ADSL,BRTHDTF,Date of Birth Imputation Flag,text,1,,,No,DATEFL,Assigned,,,,,DATEFL,Include if deriving BRTHDT and partial dates are present.
5,ADSL,AGE,Age,integer,8,,,No,,Predecessor,,,DM.AGE,,,
5,ADSL,AGEU,Age Units,text,,,,No,AGEU,Predecessor,,,DM.AGEU,,,
5,ADSL,AAGECCM,CRF Analysis Age at Consent (Months),float,8,,,No,,Derived,,ADSL_AAGECCM,,,,Include if DM.AGE is different from analysis age.
5,ADSL,AAGECCY,CRF Analysis Age at Consent (Years),float,8,,,No,,Derived,,ADSL_AAGECCY,,,,Include if DM.AGE is different from analysis age.
5,ADSL,AAGECIM,Imputed Analysis Age at Consent (Months),float,8,,,No,,Derived,,ADSL_AAGECIM,,,,Include if DM.AGE is different from analysis age.
